,brand,age,name,abv,rating,No. rating,nose,taste,finish
1558,Jack Daniel's,,Sinatra Select, 45%,4.9,7,"['Oak:100%', 'Sweet:100%']","['Sweet:100%', 'Zitrus:80%']","['Vanilla:100%', 'Nuts:100%']"
1559,Knockando,25Y,Limited Edition, 43%,4.9,7,"['Oak:100%', 'Chocolate:90%']","['Sweet:100%', 'Coconut:80%']","['Herb:100%', 'Sweet:100%']"
1560,Macallan,18Y,Sherry cask, 43%,4.9,7,['Sherry:100%'],"['Spices:100%', 'Zitrus:60%']",[]
1561,The Alrik,,Early Bird, 52.3%,4.9,7,[],[],"['Sherry:100%', 'Fruit:100%']"
1562,Benriach,16Y,, 53.4%,4.7,7,"['Herb:100%', 'Spices:100%']","['Sweet:100%', 'Fruit:70%']","['Herb:100%', 'Sweet:100%']"
1563,Bunnahabhain,11Y,, 56.8%,4.7,7,[],"['Dried Fruit:100%', 'Leather:100%']",[]
1564,Glendronach,23Y,, 54.1%,4.7,7,[''],[''],['']
1565,Glenrothes,20Y,American Oak, 45%,4.7,7,[],"['Walnut:100%', 'Lemon:100%']",[]
1566,Longrow,16Y,Manzanilla Casks, 56.1%,4.7,7,"['Spices:100%', 'Fruit:100%']",['Sherry:100%'],"['Peat Smoke:100%', 'Maritime Notes:60%']"
1567,Octomore,8Y,Masterclass 8rd2 167 PPM, 58.4%,4.7,7,['Sherry:100%'],"['Zitrus:100%', 'Nuts:100%']",[]
1568,Talisker,,, 45.8%,4.7,7,[],"['Grape:100%', 'Fruit:100%']",[]
1569,Aberlour,,a'bunadh Batch No. 33, 60.9%,4.6,7,"['Chocolate:100%', 'Sweet:100%']","['Chocolate:100%', 'Oak:100%']",['Fruit:100%']
1570,Arran,21Y,, 46%,4.6,7,"['Fruit:100%', 'Spices:70%']","['Ginger:100%', 'Sweet:100%']","['Fruit:100%', 'Nuts:70%']"
1571,Bunnahabhain,20Y,A Bunny from Heaven, 54.3%,4.6,7,"['Sweet:100%', 'Sherry:100%']","['Herb:100%', 'Sherry:100%']","['Malt:100%', 'Sherry:100%']"
1572,Edradour,,Port Matured 5th Release, 46%,4.6,7,[],"['Fruit:100%', 'Sweet:100%']",[]
1573,Glendronach,33Y,, 40%,4.6,7,['Sherry:100%'],"['Fruit:100%', 'Sweet:100%']",['Sweet:100%']
1574,Glenfarclas,22Y,Oloroso Sherry Cask, 46%,4.6,7,['Sherry:100%'],"['Sweet:100%', 'Nuts:70%']","['Oak:100%', 'Sweet:70%']"
1575,Glenfiddich,,Whisky Liqueur, 40%,4.6,7,[],"['Malt:100%', 'Zitrus:100%']",['Sweet:100%']
1576,Glenmorangie,15Y,Nectar d'Or, 46%,4.6,7,"['Nutmeg:100%', 'Nuts:100%']","['Nutmeg:100%', 'Spices:100%']","['Oil:100%', 'Nuts:100%']"
1577,Kavalan,,Solist Sherry, 57.8%,4.6,7,"['Sherry:100%', 'Zitrus:50%']",['Sherry:100%'],['Sherry:100%']
