,brand,age,name,abv,rating,No. rating,nose,taste,finish
0,Lagavulin,16Y,, 43%,4.5,985,"['Peat Smoke:100%', 'Maritime Notes:60%']","['Peat Smoke:100%', 'Sweet:70%']","['Peat Smoke:100%', 'Sweet:50%']"
1,Ardbeg,10Y,TEN, 46%,4.1,719,"['Peat Smoke:100%', 'Sweet:60%']","['Peat Smoke:100%', 'Sweet:60%']","['Peat Smoke:100%', 'Sweet:50%']"
2,Balvenie,12Y,Double Wood, 40%,3.9,688,"['Sweet:100%', 'Vanilla:80%']","['Sweet:100%', 'Nuts:60%']","['Sweet:100%', 'Oak:100%']"
3,Highland Park,12Y,, 40%,3.7,685,"['Peat Smoke:100%', 'Sweet:70%']","['Sweet:100%', 'Peat Smoke:100%']","['Peat Smoke:100%', 'Spices:50%']"
4,Laphroaig,10Y,, 40%,3.8,599,"['Peat Smoke:100%', 'Maritime Notes:60%']","['Peat Smoke:100%', 'Maritime Notes:60%']","['Peat Smoke:100%', 'Maritime Notes:50%']"
5,Ardbeg,,Uigeadail, 54.2%,4.6,590,"['Peat Smoke:100%', 'Sweet:80%']","['Peat Smoke:100%', 'Sweet:70%']","['Peat Smoke:100%', 'Sweet:50%']"
6,Glenmorangie,10Y,The Original, 40%,3.3,552,"['Sweet:100%', 'Fruit:100%']","['Sweet:100%', 'Fruit:90%']","['Fruit:100%', 'Sweet:100%']"
7,Dalwhinnie,15Y,, 43%,3.5,476,"['Sweet:100%', 'Fruit:90%']","['Sweet:100%', 'Honey:70%']","['Malt:100%', 'Oak:100%']"
8,Glenfiddich,12Y,, 40%,2.9,450,"['Fruit:100%', 'Pear:50%']","['Fruit:100%', 'Malt:70%']","['Malt:100%', 'Oak:100%']"
9,Talisker,10Y,, 45.8%,4.0,444,"['Peat Smoke:100%', 'Maritime Notes:60%']","['Spices:100%', 'Pepper:70%']","['Spices:100%', 'Peat Smoke:70%']"
10,Bunnahabhain,12Y,old Design, 46.3%,4.0,444,"['Peat Smoke:100%', 'Sweet:80%']","['Sweet:100%', 'Malt:80%']","['Sweet:100%', 'Malt:80%']"
11,Bowmore,12Y,(new cardboard box), 40%,3.5,444,"['Peat Smoke:100%', 'Sweet:70%']","['Peat Smoke:100%', 'Sweet:70%']","['Peat Smoke:100%', 'Sweet:50%']"
12,Auchentoshan,,Three Wood, 43%,3.8,395,"['Sherry:100%', 'Fruit:100%']","['Fruit:100%', 'Sweet:100%']","['Sweet:100%', 'Fruit:100%']"
13,Bowmore,15Y,Darkest, 43%,4.2,389,"['Peat Smoke:100%', 'Sherry:80%']","['Peat Smoke:100%', 'Sherry:70%']","['Peat Smoke:100%', 'Sweet:60%']"
14,Glenmorangie,12Y,Quinta Ruban, 46%,4.0,353,"['Fruit:100%', 'Sweet:100%']","['Sweet:100%', 'Fruit:80%']","['Sweet:100%', 'Sherry:50%']"
15,Oban,14Y,, 43%,3.5,345,"['Fruit:100%', 'Peat Smoke:90%']","['Maritime Notes:100%', 'Salt:90%']","['Maritime Notes:100%', 'Peat Smoke:100%']"
16,Caol Ila,12Y,, 43%,3.8,342,"['Peat Smoke:100%', 'Maritime Notes:40%']","['Peat Smoke:100%', 'Sweet:70%']","['Peat Smoke:100%', 'Sweet:60%']"
17,Glendronach,12Y,, 43%,3.9,341,"['Sherry:100%', 'Sweet:90%']","['Sherry:100%', 'Fruit:70%']","['Sherry:100%', 'Spices:90%']"
18,Glendronach,21Y,Parliament, 48%,4.7,336,"['Sherry:100%', 'Fruit:80%']","['Sherry:100%', 'Sweet:90%']","['Spices:100%', 'Sherry:90%']"
19,Laphroaig,,Quarter Cask, 48%,4.3,326,"['Peat Smoke:100%', 'Sweet:60%']","['Peat Smoke:100%', 'Sweet:70%']","['Peat Smoke:100%', 'Oak:40%']"
20,Glenfiddich,15Y,Solera Reserve, 40%,3.6,324,"['Sweet:100%', 'Fruit:100%']","['Oak:100%', 'Fruit:100%']","['Sweet:100%', 'Oak:80%']"
21,Talisker,10Y,, 45.8%,4.2,317,"['Maritime Notes:100%', 'Peat Smoke:100%']","['Spices:100%', 'Peat Smoke:100%']","['Spices:100%', 'Peat Smoke:80%']"
22,Glenlivet,12Y,, 40%,3.0,317,"['Fruit:100%', 'Sweet:80%']","['Fruit:100%', 'Malt:90%']","['Nuts:100%', 'Malt:80%']"
23,Glendronach,15Y,Revival, 46%,4.4,313,"['Sweet:100%', 'Sherry:90%']","['Sweet:100%', 'Chocolate:70%']","['Sweet:100%', 'Oak:90%']"
24,Aberlour,18Y,, 43%,4.4,312,"['Fruit:100%', 'Sweet:90%']","['Sweet:100%', 'Oak:80%']","['Oak:100%', 'Spices:90%']"
25,Glenfarclas,15Y,, 46%,4.0,306,"['Sherry:100%', 'Fruit:70%']","['Sherry:100%', 'Sweet:80%']","['Sherry:100%', 'Sweet:100%']"
26,Cragganmore,12Y,, 40%,3.4,295,"['Sweet:100%', 'Honey:60%']","['Malt:100%', 'Sweet:80%']","['Malt:100%', 'Sweet:90%']"
27,Bowmore,12Y,Enigma, 40%,3.7,285,"['Peat Smoke:100%', 'Sweet:60%']","['Peat Smoke:100%', 'Sweet:70%']","['Peat Smoke:100%', 'Maritime Notes:40%']"
28,Cardhu,12Y,, 40%,3.1,279,"['Sweet:100%', 'Honey:80%']","['Nuts:100%', 'Oil:90%']",[]
29,Ardbeg,,Corryvreckan, 57.1%,4.4,271,"['Peat Smoke:100%', 'Sweet:70%']","['Pepper:100%', 'Maritime Notes:100%']","['Peat Smoke:100%', 'Spices:70%']"
30,Highland Park,18Y,, 43%,4.5,270,"['Peat Smoke:100%', 'Sherry:80%']","['Sweet:100%', 'Oak:60%']","['Spices:100%', 'Sweet:100%']"
31,Bushmills,10Y,, 40%,3.0,266,"['Sweet:100%', 'Fruit:100%']","['Sweet:100%', 'Malt:70%']",[]
32,Glendronach,18Y,Allardice, 46%,4.5,262,"['Fruit:100%', 'Sherry:90%']","['Sherry:100%', 'Sweet:90%']","['Sherry:100%', 'Sweet:90%']"
33,Aberfeldy,12Y,, 40%,3.5,261,"['Honey:100%', 'Sweet:100%']","['Sweet:100%', 'Honey:80%']","['Spices:100%', 'Sweet:60%']"
34,Maker's Mark,,Red Seal, 45%,3.2,258,"['Sweet:100%', 'Vanilla:90%']","['Sweet:100%', 'Vanilla:60%']","['Sweet:100%', 'Nuts:80%']"
35,Aberlour,10Y,, 40%,3.2,253,"['Fruit:100%', 'Sherry:60%']","['Fruit:100%', 'Sweet:100%']",[]
36,Glenfarclas,25Y,, 43%,4.6,247,"['Sherry:100%', 'Sweet:90%']","['Oak:100%', 'Sherry:100%']","['Sherry:100%', 'Oak:100%']"
37,Glenfiddich,18Y,old design, 40%,3.8,247,"['Fruit:100%', 'Oak:60%']","['Oak:100%', 'Malt:70%']",['Oak:100%']
38,Laphroaig,,Quarter Cask - new Casing, 48%,4.1,236,"['Peat Smoke:100%', 'Sweet:70%']","['Peat Smoke:100%', 'Sweet:70%']","['Peat Smoke:100%', 'Spices:50%']"
39,Glenlivet,18Y,, 43%,4.2,235,"['Sweet:100%', 'Fruit:100%']","['Oak:100%', 'Nuts:80%']","['Oak:100%', 'Malt:80%']"
40,Ardmore,,Traditional Cask, 46%,3.5,225,"['Peat Smoke:100%', 'Spices:60%']","['Peat Smoke:100%', 'Sweet:60%']","['Oak:100%', 'Peat Smoke:100%']"
41,Glenfarclas,12Y,, 43%,3.7,222,"['Sherry:100%', 'Sweet:80%']","['Sherry:100%', 'Fruit:80%']","['Oak:100%', 'Spices:100%']"
42,Talisker,,Port Ruighe, 45.8%,4.1,220,"['Fruit:100%', 'Sweet:100%']","['Pepper:100%', 'Fruit:100%']","['Peat Smoke:100%', 'Spices:80%']"
43,Aberlour,12Y,Non Chill-Filtered, 48%,4.0,220,"['Fruit:100%', 'Sherry:70%']","['Sweet:100%', 'Fruit:80%']","['Spices:100%', 'Sweet:90%']"
44,Bowmore,18Y,, 43%,4.4,211,"['Peat Smoke:100%', 'Fruit:80%']","['Sweet:100%', 'Fruit:80%']","['Peat Smoke:100%', 'Sweet:70%']"
45,Auchentoshan,12Y,, 40%,3.2,209,"['Sweet:100%', 'Fruit:70%']","['Sweet:100%', 'Oak:80%']",['Nuts:100%']
46,Dalmore,12Y,, 40%,3.4,198,"['Fruit:100%', 'Sweet:100%']","['Sweet:100%', 'Sherry:100%']","['Sweet:100%', 'Zitrus:40%']"
47,Glenmorangie,12Y,Lasanta, 46%,3.7,193,"['Sweet:100%', 'Sherry:90%']","['Sherry:100%', 'Sweet:80%']","['Sweet:100%', 'Sherry:60%']"
48,Macallan,,Amber, 40%,3.3,193,"['Sweet:100%', 'Vanilla:80%']","['Oak:100%', 'Fruit:100%']",['Malt:100%']
49,Glenfarclas,,105 Cask Strength, 60%,3.8,188,"['Sherry:100%', 'Fruit:90%']","['Oak:100%', 'Fruit:100%']","['Sweet:100%', 'Oak:100%']"
50,Jameson,,, 40%,2.6,188,['Sweet:100%'],"['Sweet:100%', 'Spices:90%']","['Spices:100%', 'Sherry:50%']"
51,The Singleton of Dufftown,12Y,, 40%,2.8,183,"['Fruit:100%', 'Malt:60%']","['Sweet:100%', 'Fruit:90%']",['Malt:100%']
52,Glenmorangie,,Nectar d'Or, 46%,3.9,180,"['Sweet:100%', 'Fruit:100%']","['Sweet:100%', 'Spices:80%']","['Sweet:100%', 'Spices:70%']"
53,Edradour,10Y,, 40%,3.5,178,"['Sweet:100%', 'Sherry:100%']","['Nuts:100%', 'Malt:80%']","['Spices:100%', 'Oak:80%']"
54,Connemara,,, 40%,3.5,177,"['Peat Smoke:100%', 'Sweet:60%']","['Peat Smoke:100%', 'Fruit:60%']",['Peat Smoke:100%']
55,Springbank,10Y,, 46%,3.8,176,"['Peat Smoke:100%', 'Sweet:70%']","['Sweet:100%', 'Spices:100%']","['Spices:100%', 'Peat Smoke:100%']"
56,Dalmore,,King Alexander III, 40%,4.4,172,"['Fruit:100%', 'Sweet:80%']","['Sweet:100%', 'Fruit:90%']","['Fruit:100%', 'Spices:90%']"
57,Aberlour,15Y,Select Cask Reserve, 43%,3.9,171,"['Sweet:100%', 'Honey:80%']","['Sweet:100%', 'Vanilla:60%']",['Spices:100%']
58,Benriach,12Y,Sherry, 46%,4.0,167,"['Sherry:100%', 'Sweet:80%']","['Sherry:100%', 'Fruit:70%']","['Sherry:100%', 'Oak:80%']"
59,Balvenie,14Y,Caribbean Cask, 43%,3.8,167,"['Sweet:100%', 'Vanilla:80%']","['Sweet:100%', 'Oak:80%']","['Sweet:100%', 'Oak:90%']"
60,Tomatin,,Legacy, 43%,3.1,167,"['Sweet:100%', 'Fruit:100%']","['Fruit:100%', 'Sweet:100%']","['Sweet:100%', 'Spices:90%']"
61,Macallan,12Y,, 40%,4.4,165,"['Sherry:100%', 'Sweet:70%']","['Sherry:100%', 'Nuts:50%']","['Sherry:100%', 'Sweet:100%']"
62,Talisker,,Storm, 45.8%,3.7,164,"['Peat Smoke:100%', 'Maritime Notes:50%']","['Pepper:100%', 'Spices:100%']","['Spices:100%', 'Peat Smoke:90%']"
63,Glenfarclas,10Y,, 40%,3.2,162,"['Sweet:100%', 'Sherry:100%']","['Sherry:100%', 'Fruit:80%']","['Spices:100%', 'Sherry:50%']"
64,Jack Daniel's,,Single Barrel, 45%,3.1,161,"['Sweet:100%', 'Oak:70%']","['Sweet:100%', 'Oak:70%']","['Sweet:100%', 'Oak:80%']"
65,Chivas Regal,12Y,, 40%,2.5,161,"['Sweet:100%', 'Fruit:90%']","['Sweet:100%', 'Nuts:70%']",[]
66,Glenfarclas,18Y,, 43%,4.3,159,"['Sweet:100%', 'Sherry:90%']","['Fruit:100%', 'Sweet:100%']","['Oak:100%', 'Spices:80%']"
67,Elijah Craig,12Y,, 47%,3.8,158,"['Sweet:100%', 'Oak:80%']","['Oak:100%', 'Sweet:100%']",[]
68,Glenfarclas,21Y,, 43%,4.3,154,"['Fruit:100%', 'Sherry:100%']","['Sherry:100%', 'Fruit:90%']","['Sweet:100%', 'Oak:70%']"
69,Ardbeg,10Y,TEN, 46%,4.2,153,"['Peat Smoke:100%', 'Sweet:60%']","['Peat Smoke:100%', 'Spices:70%']","['Peat Smoke:100%', 'Malt:50%']"
70,Macallan,12Y,Fine Oak, 40%,3.6,152,"['Sweet:100%', 'Fruit:90%']","['Oak:100%', 'Fruit:100%']","['Sweet:100%', 'Oak:100%']"
71,Macallan,12Y,Sherry Cask, 40%,4.2,150,"['Sherry:100%', 'Sweet:90%']","['Sherry:100%', 'Sweet:100%']","['Fruit:100%', 'Oak:90%']"
72,Bakers,7Y,107 Proof, 53.5%,4.1,148,"['Vanilla:100%', 'Sweet:100%']","['Sweet:100%', 'Vanilla:80%']","['Sweet:100%', 'Nuts:100%']"
73,Glenfiddich,12Y,, 43%,2.5,148,['Fruit:100%'],"['Fruit:100%', 'Malt:70%']",[]
74,Auchentoshan,,American Oak, 40%,3.5,144,"['Vanilla:100%', 'Sweet:100%']","['Vanilla:100%', 'Sweet:100%']","['Oak:100%', 'Spices:100%']"
75,Nikka,,From the Barrel, 51.4%,3.9,141,"['Fruit:100%', 'Spices:80%']","['Oak:100%', 'Sweet:100%']","['Sweet:100%', 'Spices:80%']"
76,Clynelish,14Y,, 46%,3.5,141,"['Herbs:100%', 'Sweet:100%']","['Maritime Notes:100%', 'Nuts:60%']","['Spices:100%', 'Maritime Notes:100%']"
77,Ardmore,12Y,Port Wood Finish, 46%,4.2,139,"['Fruit:100%', 'Peat Smoke:100%']","['Fruit:100%', 'Sweet:100%']","['Peat Smoke:100%', 'Spices:50%']"
78,Johnnie Walker,,Red label, 40%,1.6,139,['Peat Smoke:100%'],"['Sweet:100%', 'Malt:80%']",[]
79,Dalmore,15Y,The Fifteen, 40%,4.0,138,"['Spices:100%', 'Sherry:100%']","['Spices:100%', 'Zitrus:60%']","['Spices:100%', 'Sweet:90%']"
80,Glenkinchie,12Y,, 43%,3.2,138,"['Malt:100%', 'Herbs:90%']","['Malt:100%', 'Sweet:100%']","['Spices:100%', 'Malt:100%']"
81,Laphroaig,,Triple Wood, 48%,4.2,137,"['Peat Smoke:100%', 'Sweet:80%']","['Sweet:100%', 'Oak:70%']","['Peat Smoke:100%', 'Oak:60%']"
82,Redbreast,12Y,, 40%,3.8,137,"['Fruit:100%', 'Spices:60%']","['Pepper:100%', 'Spices:100%']","['Spices:100%', 'Oak:80%']"
83,Edradour,12Y,Caledonia, 46%,3.9,136,"['Sherry:100%', 'Sweet:80%']","['Sherry:100%', 'Sweet:80%']","['Spices:100%', 'Sherry:60%']"
84,Glenrothes,,Select Reserve, 43%,3.4,135,"['Vanilla:100%', 'Sweet:100%']","['Sweet:100%', 'Malt:80%']",[]
85,Springbank,15Y,, 46%,4.2,134,"['Sweet:100%', 'Sherry:100%']","['Sherry:100%', 'Peat Smoke:100%']","['Sherry:100%', 'Oak:90%']"
86,Bruichladdich,10Y,The Laddie Ten, 46%,3.9,134,"['Sweet:100%', 'Maritime Notes:80%']","['Malt:100%', 'Oak:100%']",['Malt:100%']
87,Johnnie Walker,12Y,Black label, 40%,2.4,134,"['Fruit:100%', 'Peat Smoke:100%']","['Sweet:100%', 'Spices:100%']",['Spices:100%']
88,Jack Daniel's,,Old No. 7, 40%,2.0,133,['Sweet:100%'],['Sweet:100%'],[]
89,Tullibardine,,228 Burgundy Finish, 43%,3.8,132,"['Sweet:100%', 'Fruit:90%']","['Fruit:100%', 'Nuts:90%']",['Spices:100%']
90,Loch Lomond,,, 40%,1.9,127,['Malt:100%'],"['Malt:100%', 'Sweet:100%']",['Malt:100%']
91,Aberlour,12Y,Double Cask, 40%,3.8,126,"['Fruit:100%', 'Sherry:100%']","['Fruit:100%', 'Sweet:100%']","['Oak:100%', 'Sweet:100%']"
92,Jura,,Superstition, 43%,3.3,126,"['Peat Smoke:100%', 'Sweet:80%']","['Sweet:100%', 'Peat Smoke:100%']","['Spices:100%', 'Sweet:100%']"
93,Ledaig,10Y,, 46.3%,3.7,125,"['Peat Smoke:100%', 'Maritime Notes:50%']","['Sweet:100%', 'Peat Smoke:100%']","['Peat Smoke:100%', 'Spices:70%']"
94,Glenlivet,15Y,French Oak Reserve, 40%,3.7,124,"['Fruit:100%', 'Sweet:100%']","['Oak:100%', 'Fruit:80%']","['Sweet:100%', 'Oak:70%']"
95,Bushmills,16Y,Three Woods, 40%,4.1,123,"['Sweet:100%', 'Fruit:80%']","['Nuts:100%', 'Sweet:100%']",['Sweet:100%']
96,Blanton's,,Gold, 51.5%,4.3,119,"['Sweet:100%', 'Vanilla:90%']","['Sweet:100%', 'Oak:50%']",['Sweet:100%']
97,Woodford Reserve,,Distiller's Select, 43.2%,3.7,119,"['Vanilla:100%', 'Sweet:100%']","['Sweet:100%', 'Spices:100%']",['Spices:100%']
98,Glen Grant,,The Major's Reserve, 40%,2.3,119,"['Fruit:100%', 'Apple:70%']","['Fruit:100%', 'Sweet:100%']","['Malt:100%', 'Nuts:90%']"
99,Bushmills,16Y,Three Wood, 40%,4.1,118,"['Sweet:100%', 'Nuts:70%']","['Sweet:100%', 'Fruit:90%']","['Herb:100%', 'Sweet:100%']"
100,Glenlivet,12Y,, 40%,3.2,118,"['Fruit:100%', 'Sweet:70%']","['Fruit:100%', 'Malt:80%']","['Nuts:100%', 'Sweet:100%']"
101,Caol Ila,18Y,, 43%,4.5,117,"['Peat Smoke:100%', 'Maritime Notes:40%']","['Maritime Notes:100%', 'Sweet:100%']",['Peat Smoke:100%']
102,Jack Daniel's,,Gentleman Jack, 40%,2.8,117,"['Vanilla:100%', 'Sweet:100%']","['Sweet:100%', 'Nuts:70%']",['Sweet:100%']
103,Balvenie,12Y,Single Barrel First Fill, 47.8%,4.3,116,"['Vanilla:100%', 'Sweet:100%']","['Sweet:100%', 'Honey:70%']",['Sweet:100%']
104,Laphroaig,18Y,, 48%,4.6,112,"['Sweet:100%', 'Peat Smoke:100%']","['Sweet:100%', 'Peat Smoke:100%']",[]
105,Tomintoul,,Peaty Tang, 40%,3.3,112,"['Peat Smoke:100%', 'Herbs:60%']","['Peat Smoke:100%', 'Malt:40%']",['Peat Smoke:100%']
106,Arran,10Y,, 46%,3.4,111,"['Fruit:100%', 'Sweet:90%']","['Oak:100%', 'Sweet:100%']",[]
107,Ardmore,,Legacy, 40%,3.0,111,"['Sweet:100%', 'Peat Smoke:100%']","['Sweet:100%', 'Peat Smoke:100%']","['Peat Smoke:100%', 'Sweet:70%']"
108,Jim Beam,,White label, 40%,1.6,111,['Sweet:100%'],['Sweet:100%'],[]
109,Benriach,17Y,Solstice, 50%,4.5,110,"['Peat Smoke:100%', 'Sherry:40%']","['Peat Smoke:100%', 'Sweet:70%']","['Peat Smoke:100%', 'Sherry:40%']"
110,Cardhu,18Y,, 40%,4.0,110,"['Fruit:100%', 'Sweet:60%']","['Sweet:100%', 'Fruit:90%']",[]
111,Macallan,10Y,Sherry cask, 40%,3.9,110,"['Sweet:100%', 'Fruit:80%']","['Fruit:100%', 'Oak:80%']","['Oak:100%', 'Sherry:70%']"
112,Scapa,16Y,, 40%,3.9,110,"['Herbs:100%', 'Sweet:100%']","['Maritime Notes:100%', 'Fruit:100%']",['Maritime Notes:100%']
113,Benriach,15Y,Pedro Ximenez Finish, 46%,4.4,106,"['Sweet:100%', 'Sherry:90%']","['Sweet:100%', 'Oak:60%']",['Sherry:100%']
114,Laphroaig,,PX Cask - new Casing, 48%,4.4,106,"['Peat Smoke:100%', 'Sherry:80%']","['Peat Smoke:100%', 'Oak:60%']","['Peat Smoke:100%', 'Oak:80%']"
115,Ballantine's,,Finest, 40%,1.7,106,"['Sweet:100%', 'Malt:60%']",['Sweet:100%'],[]
116,Tobermory,10Y,, 46.3%,3.6,105,"['Maritime Notes:100%', 'Malt:60%']","['Sweet:100%', 'Spices:100%']","['Sweet:100%', 'Spices:90%']"
117,Bowmore,,Black Rock, 40%,3.3,104,"['Sherry:100%', 'Peat Smoke:100%']","['Peat Smoke:100%', 'Sherry:70%']","['Peat Smoke:100%', 'Maritime Notes:50%']"
118,Glen Garioch,12Y,, 48%,3.7,103,"['Fruit:100%', 'Herbs:70%']","['Fruit:100%', 'Oak:70%']","['Oak:100%', 'Sweet:90%']"
119,Benriach,10Y,Curiositas, 46%,3.7,103,"['Peat Smoke:100%', 'Sweet:60%']","['Peat Smoke:100%', 'Oak:50%']","['Peat Smoke:100%', 'Spices:50%']"
120,Glenlivet,18Y,, 43%,4.3,102,"['Oak:100%', 'Sweet:100%']","['Oak:100%', 'Nuts:100%']","['Oak:100%', 'Sweet:70%']"
121,Glenfiddich,14Y,Rich Oak, 40%,3.5,102,"['Oak:100%', 'Vanilla:100%']","['Sweet:100%', 'Nuts:80%']","['Oak:100%', 'Spices:80%']"
122,Glenmorangie,18Y,Extremely Rare (old bottling), 43%,4.4,100,"['Sherry:100%', 'Sweet:80%']","['Sherry:100%', 'Sweet:100%']","['Fruit:100%', 'Nuts:70%']"
123,Jura,10Y,, 40%,3.0,99,[],"['Fruit:100%', 'Nuts:60%']","['Malt:100%', 'Maritime Notes:100%']"
124,Laphroaig,,Select, 40%,3.3,98,"['Sweet:100%', 'Peat Smoke:100%']","['Sweet:100%', 'Peat Smoke:100%']","['Peat Smoke:100%', 'Sweet:60%']"
125,Glenmorangie,,Signet, 46%,4.7,97,"['Sweet:100%', 'Fruit:100%']","['Herb:100%', 'Sweet:100%']","['Sweet:100%', 'Spices:100%']"
126,Laphroaig,,Triple Wood, 48%,4.0,97,"['Sweet:100%', 'Peat Smoke:100%']","['Peat Smoke:100%', 'Sweet:80%']",[]
127,Glenmorangie,12Y,Lasanta, 43%,3.9,96,"['Sweet:100%', 'Sherry:80%']","['Sherry:100%', 'Sweet:100%']","['Spices:100%', 'Sherry:70%']"
128,Monkey Shoulder,,, 40%,3.4,95,"['Fruit:100%', 'Sweet:100%']","['Fruit:100%', 'Sweet:100%']","['Sweet:100%', 'Malt:80%']"
129,Connemara,,, 40%,3.3,95,['Peat Smoke:100%'],"['Sweet:100%', 'Peat Smoke:100%']",['Peat Smoke:100%']
130,Bunnahabhain,18Y,, 46.3%,4.6,94,['Sherry:100%'],"['Oak:100%', 'Spices:100%']","['Spices:100%', 'Malt:90%']"
131,Balvenie,12Y,Double Wood, 43%,3.9,94,"['Sherry:100%', 'Sweet:80%']","['Nuts:100%', 'Sweet:100%']",[]
132,Strathisla,12Y,, 40%,3.7,94,"['Fruit:100%', 'Sweet:100%']","['Sweet:100%', 'Fruit:80%']",['Malt:100%']
133,Lochnagar,12Y,, 40%,3.2,94,"['Sweet:100%', 'Fruit:100%']","['Sweet:100%', 'Malt:70%']",['Malt:100%']
134,Four Roses,,Single Barrel 100 Proof, 50%,4.1,93,"['Sweet:100%', 'Spices:80%']","['Fruit:100%', 'Sweet:100%']",['Spices:100%']
135,Smokehead,,, 43%,3.4,93,['Peat Smoke:100%'],"['Peat Smoke:100%', 'Maritime Notes:40%']",['Peat Smoke:100%']
136,Laphroaig,18Y,, 48%,4.6,92,"['Maritime Notes:100%', 'Peat Smoke:100%']","['Peat Smoke:100%', 'Oak:60%']",['Peat Smoke:100%']
137,Balvenie,16Y,Triple Cask, 40%,4.4,92,"['Sweet:100%', 'Fruit:80%']","['Vanilla:100%', 'Sweet:100%']",[]
138,Talisker,,57° North, 57%,4.2,91,"['Peat Smoke:100%', 'Spices:60%']","['Spices:100%', 'Peat Smoke:100%']",['Spices:100%']
139,Talisker,,Dark Storm, 45.8%,4.0,90,"['Peat Smoke:100%', 'Maritime Notes:50%']","['Spices:100%', 'Peat Smoke:90%']","['Spices:100%', 'Peat Smoke:100%']"
140,Aberfeldy,21Y,, 40%,4.2,89,"['Honey:100%', 'Sweet:100%']","['Sweet:100%', 'Zitrus:80%']","['Sweet:100%', 'Nuts:80%']"
141,Johnnie Walker,15Y,Green label, 43%,3.8,89,"['Fruit:100%', 'Sweet:90%']","['Sweet:100%', 'Spices:100%']","['Sweet:100%', 'Spices:100%']"
142,Jura,16Y,Diurachs' Own, 40%,3.6,89,"['Spices:100%', 'Sweet:100%']","['Sweet:100%', 'Maritime Notes:80%']","['Sweet:100%', 'Maritime Notes:50%']"
143,Bushmills,21Y,Madeira Finish - Holzbox, 40%,4.8,88,"['Fruit:100%', 'Sweet:100%']","['Malt:100%', 'Spices:100%']","['Sweet:100%', 'Spices:90%']"
144,Jura,,Superstition, 43%,3.7,88,"['Sweet:100%', 'Peat Smoke:100%']","['Sweet:100%', 'Peat Smoke:100%']","['Sweet:100%', 'Spices:90%']"
145,Deanston,12Y,, 46.3%,3.6,88,"['Sweet:100%', 'Zitrus:40%']","['Sweet:100%', 'Malt:80%']","['Sweet:100%', 'Spices:100%']"
146,Balvenie,17Y,Double Wood, 43%,4.4,87,"['Sweet:100%', 'Sherry:60%']","['Sweet:100%', 'Oak:60%']","['Spices:100%', 'Oak:90%']"
147,Knob Creek,9Y,, 50%,3.9,87,"['Oak:100%', 'Sweet:100%']",['Oak:100%'],[]
148,Macallan,,Sienna, 43%,4.0,86,"['Sweet:100%', 'Zitrus:70%']","['Sweet:100%', 'Fruit:80%']","['Sweet:100%', 'Spices:100%']"
149,Bowmore,15Y,Mariner, 43%,3.9,86,"['Fruit:100%', 'Peat Smoke:100%']","['Oak:100%', 'Sweet:100%']",['Sherry:100%']
150,Glenfarclas,,105 Cask Strength, 60%,3.7,86,"['Fruit:100%', 'Oak:70%']","['Sherry:100%', 'Oak:80%']","['Spices:100%', 'Sherry:80%']"
151,Glendronach,12Y,, 40%,3.4,86,"['Fruit:100%', 'Sweet:100%']","['Sherry:100%', 'Nuts:80%']",['Nuts:100%']
152,Tullamore D.E.W.,,, 40%,2.4,86,"['Fruit:100%', 'Sweet:80%']",['Sweet:100%'],['Spices:100%']
153,Talisker,18Y,, 45.8%,4.6,85,"['Maritime Notes:100%', 'Peat Smoke:100%']","['Sweet:100%', 'Peat Smoke:100%']",['Spices:100%']
154,Balvenie,21Y,Port Wood, 40%,4.3,85,"['Sherry:100%', 'Fruit:90%']","['Sweet:100%', 'Nuts:80%']","['Nuts:100%', 'Malt:80%']"
155,Tomatin,12Y,, 40%,3.3,85,"['Malt:100%', 'Fruit:100%']","['Fruit:100%', 'Nuts:90%']",['Malt:100%']
156,Glenlivet,,Founder's Reserve, 40%,3.0,85,"['Fruit:100%', 'Zitrus:80%']","['Fruit:100%', 'Sweet:70%']","['Nuts:100%', 'Oil:100%']"
157,Talisker,,, 45.8%,4.6,84,"['Sweet:100%', 'Peat Smoke:100%']","['Spices:100%', 'Fruit:70%']","['Sweet:100%', 'Peat Smoke:100%']"
158,Dalmore,18Y,, 43%,4.2,84,"['Spices:100%', 'Sherry:100%']","['Herb:100%', 'Chocolate:90%']","['Sweet:100%', 'Spices:100%']"
159,Suntory,12Y,Yamazaki, 43%,4.0,84,"['Sweet:100%', 'Fruit:100%']","['Sweet:100%', 'Fruit:80%']",[]
160,Bushmills,,1608 Anniversary, 46%,3.8,83,['Sweet:100%'],['Sweet:100%'],[]
161,Glen Elgin,12Y,, 43%,3.5,83,[],['Fruit:100%'],[]
162,Bruichladdich,,Rocks, 46%,3.0,83,"['Fruit:100%', 'Sweet:80%']","['Fruit:100%', 'Oak:80%']",[]
163,Glengoyne,21Y,, 43%,4.6,82,"['Sherry:100%', 'Fruit:90%']","['Sherry:100%', 'Sweet:90%']",['Sherry:100%']
164,Jura,,Turas-Mara, 42%,3.8,82,"['Sweet:100%', 'Fruit:100%']","['Fruit:100%', 'Sweet:60%']","['Spices:100%', 'Sherry:70%']"
165,Tobermory,15Y,, 46.3%,4.5,81,['Sherry:100%'],"['Oak:100%', 'Sherry:100%']",['Spices:100%']
